省份,城市,城市代码,市辖区县,市辖区县代码,城镇,城镇代码
江西省,抚州市,361000000000,广昌县,361030000000,旴江镇,361030100000
江西省,抚州市,361000000000,广昌县,361030000000,头陂镇,361030101000
江西省,抚州市,361000000000,广昌县,361030000000,赤水镇,361030103000
江西省,抚州市,361000000000,广昌县,361030000000,驿前镇,361030104000
江西省,抚州市,361000000000,广昌县,361030000000,甘竹镇,361030105000
江西省,抚州市,361000000000,广昌县,361030000000,塘坊镇,361030106000
江西省,抚州市,361000000000,广昌县,361030000000,千善乡,361030200000
江西省,抚州市,361000000000,广昌县,361030000000,水南圩乡,361030201000
江西省,抚州市,361000000000,广昌县,361030000000,长桥乡,361030202000
江西省,抚州市,361000000000,广昌县,361030000000,杨溪乡,361030203000
江西省,抚州市,361000000000,广昌县,361030000000,尖峰乡,361030204000
江西省,抚州市,361000000000,广昌县,361030000000,翠雷山垦殖场,361030400000
江西省,抚州市,361000000000,广昌县,361030000000,广昌县工业园区,361030500000
江西省,抚州市,361000000000,资溪县,361028000000,鹤城镇,361028100000
江西省,抚州市,361000000000,资溪县,361028000000,马头山镇,361028101000
江西省,抚州市,361000000000,资溪县,361028000000,高阜镇,361028102000
江西省,抚州市,361000000000,资溪县,361028000000,嵩市镇,361028103000
江西省,抚州市,361000000000,资溪县,361028000000,乌石镇,361028104000
江西省,抚州市,361000000000,资溪县,361028000000,高田乡,361028200000
江西省,抚州市,361000000000,资溪县,361028000000,石峡乡,361028201000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市沁园街道,419001001000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市济水街道,419001002000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市北海街道,419001003000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市天坛街道,419001004000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市玉泉街道,419001005000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市克井镇,419001100000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市五龙口镇,419001101000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市轵城镇,419001102000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市承留镇,419001103000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市邵原镇,419001104000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市坡头镇,419001105000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市梨林镇,419001106000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市大峪镇,419001107000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市思礼镇,419001108000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市王屋镇,419001109000
河南省,省直辖县级行政区划,419000000000,济源市,419001000000,济源市下冶镇,419001110000
江西省,抚州市,361000000000,金溪县,361027000000,秀谷镇,361027100000
江西省,抚州市,361000000000,金溪县,361027000000,浒湾镇,361027101000
江西省,抚州市,361000000000,金溪县,361027000000,双塘镇,361027102000
江西省,抚州市,361000000000,金溪县,361027000000,何源镇,361027103000
江西省,抚州市,361000000000,金溪县,361027000000,合市镇,361027104000
江西省,抚州市,361000000000,金溪县,361027000000,琅琚镇,361027105000
江西省,抚州市,361000000000,金溪县,361027000000,左坊镇,361027106000
江西省,抚州市,361000000000,金溪县,361027000000,对桥镇,361027107000
江西省,抚州市,361000000000,金溪县,361027000000,黄通乡,361027200000
江西省,抚州市,361000000000,金溪县,361027000000,陆坊乡,361027202000
江西省,抚州市,361000000000,金溪县,361027000000,陈坊积乡,361027203000
江西省,抚州市,361000000000,金溪县,361027000000,琉璃乡,361027204000
江西省,抚州市,361000000000,金溪县,361027000000,石门乡,361027205000
江西省,抚州市,361000000000,金溪县,361027000000,华侨管理区,361027400000
江西省,抚州市,361000000000,金溪县,361027000000,江西金溪工业园区管理委员会,361027401000
安徽省,池州市,341700000000,青阳县,341723000000,蓉城镇,341723100000
安徽省,池州市,341700000000,青阳县,341723000000,木镇镇,341723101000
安徽省,池州市,341700000000,青阳县,341723000000,庙前镇,341723102000
安徽省,池州市,341700000000,青阳县,341723000000,陵阳镇,341723103000
安徽省,池州市,341700000000,青阳县,341723000000,新河镇,341723104000
安徽省,池州市,341700000000,青阳县,341723000000,丁桥镇,341723105000
安徽省,池州市,341700000000,青阳县,341723000000,朱备镇,341723106000
安徽省,池州市,341700000000,青阳县,341723000000,杨田镇,341723107000
安徽省,池州市,341700000000,青阳县,341723000000,九华镇,341723108000
安徽省,池州市,341700000000,青阳县,341723000000,酉华镇,341723109000
安徽省,池州市,341700000000,青阳县,341723000000,乔木乡,341723200000
安徽省,池州市,341700000000,青阳县,341723000000,杜村乡,341723202000
安徽省,池州市,341700000000,青阳县,341723000000,九华乡,341723203000
安徽省,池州市,341700000000,青阳县,341723000000,青阳县开发区,341723400000
黑龙江省,大兴安岭地区,232700000000,呼中区,232764000000,呼中镇,232764100000
黑龙江省,大兴安岭地区,232700000000,呼中区,232764000000,碧水镇,232764101000
黑龙江省,大兴安岭地区,232700000000,呼中区,232764000000,呼源镇,232764102000
黑龙江省,大兴安岭地区,232700000000,呼中区,232764000000,宏伟镇,232764103000
吉林省,白城市,220800000000,大安市,220882000000,慧阳街道,220882001000
吉林省,白城市,220800000000,大安市,220882000000,临江街道,220882002000
吉林省,白城市,220800000000,大安市,220882000000,长虹街道,220882003000
吉林省,白城市,220800000000,大安市,220882000000,锦华街道,220882004000
吉林省,白城市,220800000000,大安市,220882000000,安北街道,220882005000
吉林省,白城市,220800000000,大安市,220882000000,月亮泡镇,220882100000
吉林省,白城市,220800000000,大安市,220882000000,安广镇,220882101000
吉林省,白城市,220800000000,大安市,220882000000,丰收镇,220882102000
吉林省,白城市,220800000000,大安市,220882000000,新平安镇,220882103000
吉林省,白城市,220800000000,大安市,220882000000,两家子镇,220882104000
吉林省,白城市,220800000000,大安市,220882000000,舍力镇,220882105000
吉林省,白城市,220800000000,大安市,220882000000,大岗子镇,220882106000
吉林省,白城市,220800000000,大安市,220882000000,叉干镇,220882107000
吉林省,白城市,220800000000,大安市,220882000000,龙沼镇,220882108000
吉林省,白城市,220800000000,大安市,220882000000,太山镇,220882109000
吉林省,白城市,220800000000,大安市,220882000000,四棵树乡,220882200000
吉林省,白城市,220800000000,大安市,220882000000,联合乡,220882201000
吉林省,白城市,220800000000,大安市,220882000000,大赉乡,220882202000
吉林省,白城市,220800000000,大安市,220882000000,红岗子乡,220882203000
吉林省,白城市,220800000000,大安市,220882000000,海坨乡,220882204000
吉林省,白城市,220800000000,大安市,220882000000,新艾里蒙古族乡,220882205000
吉林省,白城市,220800000000,大安市,220882000000,烧锅镇乡,220882206000
吉林省,白城市,220800000000,大安市,220882000000,乐胜乡,220882207000
吉林省,白城市,220800000000,大安市,220882000000,大安经济开发区（省级）,220882400000
吉林省,白城市,220800000000,大安市,220882000000,新荒渔场,220882401000
吉林省,白城市,220800000000,大安市,220882000000,东方红农场,220882402000
吉林省,白城市,220800000000,大安市,220882000000,五间房水库,220882404000
吉林省,白城市,220800000000,大安市,220882000000,风水山牧场,220882406000
吉林省,白城市,220800000000,大安市,220882000000,东风马场,220882407000
吉林省,白城市,220800000000,大安市,220882000000,良种繁育场,220882408000
吉林省,白城市,220800000000,大安市,220882000000,大安马场,220882409000
吉林省,白城市,220800000000,大安市,220882000000,安广猪场,220882410000
吉林省,白城市,220800000000,大安市,220882000000,红旗饲养场,220882411000
吉林省,白城市,220800000000,洮南市,220881000000,团结街道,220881001000
吉林省,白城市,220800000000,洮南市,220881000000,富文街道,220881002000
吉林省,白城市,220800000000,洮南市,220881000000,光明街道,220881003000
吉林省,白城市,220800000000,洮南市,220881000000,兴隆街道,220881004000
吉林省,白城市,220800000000,洮南市,220881000000,永康街道,220881005000
吉林省,白城市,220800000000,洮南市,220881000000,通达街道,220881006000
吉林省,白城市,220800000000,洮南市,220881000000,洮府街道,220881007000
吉林省,白城市,220800000000,洮南市,220881000000,向阳街道,220881008000
吉林省,白城市,220800000000,洮南市,220881000000,瓦房镇,220881100000
吉林省,白城市,220800000000,洮南市,220881000000,万宝镇,220881101000
吉林省,白城市,220800000000,洮南市,220881000000,黑水镇,220881102000
吉林省,白城市,220800000000,洮南市,220881000000,那金镇,220881103000
吉林省,白城市,220800000000,洮南市,220881000000,安定镇,220881104000
吉林省,白城市,220800000000,洮南市,220881000000,福顺镇,220881105000
吉林省,白城市,220800000000,洮南市,220881000000,胡力吐蒙古族乡,220881200000
吉林省,白城市,220800000000,洮南市,220881000000,万宝乡,220881201000
吉林省,白城市,220800000000,洮南市,220881000000,聚宝乡,220881202000
吉林省,白城市,220800000000,洮南市,220881000000,东升乡,220881203000
吉林省,白城市,220800000000,洮南市,220881000000,野马乡,220881204000
吉林省,白城市,220800000000,洮南市,220881000000,永茂乡,220881205000
吉林省,白城市,220800000000,洮南市,220881000000,蛟流河乡,220881206000
吉林省,白城市,220800000000,洮南市,220881000000,大通乡,220881207000
吉林省,白城市,220800000000,洮南市,220881000000,二龙乡,220881209000
吉林省,白城市,220800000000,洮南市,220881000000,呼和车力蒙古族乡,220881210000
吉林省,白城市,220800000000,洮南市,220881000000,市原种场,220881402000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,保和镇,533423101000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,叶枝镇,533423102000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,塔城镇,533423103000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,永春乡,533423201000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,攀天阁乡,533423202000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,白济汛乡,533423203000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,康普乡,533423204000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,巴迪乡,533423205000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,中路乡,533423206000
云南省,迪庆藏族自治州,533400000000,维西傈僳族自治县,533423000000,维登乡,533423207000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,升平镇,533422101000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,奔子栏镇,533422102000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,佛山乡,533422201000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,云岭乡,533422202000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,燕门乡,533422203000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,拖顶傈僳族乡,533422204000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,霞若傈僳族乡,533422205000
云南省,迪庆藏族自治州,533400000000,德钦县,533422000000,羊拉乡,533422206000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,海城镇,640522100000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,李旺镇,640522101000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,西安镇,640522103000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,三河镇,640522104000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,七营镇,640522105000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,史店乡,640522200000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,树台乡,640522201000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,关桥乡,640522202000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,高崖乡,640522206000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,郑旗乡,640522207000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,贾塘乡,640522208000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,曹洼乡,640522209000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,九彩乡,640522210000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,李俊乡,640522211000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,红羊乡,640522212000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,关庄乡,640522213000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,甘城乡,640522214000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,种羊场,640522400000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,南华山自然保护区管理处,640522401000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,老城管理办公室,640522402000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,海兴开发区,640522406000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,宁安镇,640521100000
